,0
70,zurich swiss oppos referendum campaign launch far right end free movement citizen european union poll publish sunday found referendum drive reflect uneas influx foreign account quarter swiss popul impos limit eu citizen would violat bilater accord enhanc swiss access eu singl market lifeblood export led swiss economi bind referendum expect may whether switzerland take back unilater control immigr necessari cost abrog free movement pact took full effect vote put agenda far right peopl parti largest parliament two seven seat feder cabinet referendum swiss system direct democraci bill switzerland brexit moment tamedia onlin survey around peopl across switzerland found idea approv opinion point margin error battl referendum campaign prioriti swiss govern struggl put relat surround eu new foot brussel want swiss endors new treati would bern routin adopt singl market rule creat effect platform resolv disput swiss govern drag feet month tri forg domest consensu proceed annoy brussel trigger row cross border stock trade treati ran aground amid opposit span normal pro europ center left anti eu far right critic say pact infring swiss sovereignti extent would never get parliament pass referendum tamedia poll found respond want treati renegoti want sign quickli want reject entir swiss voter back quota eu immigr parliament skirt crisi brussel instead give hire prefer peopl regist unemploy switzerland anger peopl parti led new referendum push
71,dubai gulf stock fell sharpli late afternoon trade sunday kuwaiti saudi stock lead loss share oil giant aramco list last month record initi public offer fell hit lowest level sinc start trade dec iranian militari command qassem soleimani architect tehran oversea militari oper kill friday u drone strike convoy baghdad airport kill seen tehran act war risk region conflagr kuwaiti index best perform region nearli saudi stock plung dubai stock abu dhabi index fell aramco share drop riyal share lowest level sinc start trade last month u iran war could shave percentag point global gdp mainli due collaps iran economi also due impact surg oil price jason tuvey senior emerg market economist capit econom said note last week said conflict would probabl pressur equiti bond market middl east gulf countri currenc peg u dollar would like remain intact oil price jump barrel friday highest level three month soleimani kill spark fear conflict region could disrupt global oil suppli
72,r n tin signific chang incom tax return file form individu taxpay own hous properti joint ownership paid rs electr bill year incur rs expens foreign travel cannot file annual incom return use simpl itr form r n tthe govern usual notifi form file incom tax return individu april everi year januari notifi tax return form assess year document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n treturn itr sahaj file ordinarili resid individu whose total incom exceed rs million form itr sugam meant resid individu huf firm total incom rs million presumpt incom busi profess n r n taccord notif two major chang itr form effect first individu taxpay cannot file return either itr itr joint owner hous properti n r n tsecondli itr form valid individu deposit rs crore bank account incur rs rs foreign travel electr respect said n r n tsuch taxpay use differ form notifi due cours n r n tan individu own hous properti joint ownership two person requir furnish return incom notif said n r n form notifi without return file util thu taxpay requir file return previou year end cannot return file facil activ e file portal said naveen wadhwa taxmann n r n tusual incom tax depart notifi itr form first week april relev assess year howev contrast old practic notifi two itr form itr itr assess year first week januari n r n treturn itr sahaj file ordinarili resid individu whose total incom exceed rs million form itr sugam meant resid individu huf firm total incom rs million presumpt incom busi profess r n taccord notif two major chang itr form effect first individu taxpay cannot file return either itr itr joint owner hous properti r n tsecondli itr form valid individu deposit rs crore bank account incur rs rs foreign travel electr respect said r n tsuch taxpay use differ form notifi due cours r n tan individu own hous properti joint ownership two person requir furnish return incom notif said r n form notifi without return file util thu taxpay requir file return previou year end cannot return file facil activ e file portal said naveen wadhwa taxmann r n tusual incom tax depart notifi itr form first week april relev assess year howev contrast old practic notifi two itr form itr itr assess year first week januari
73,r n tthe reserv bank appoint administr beleagu dewan hous financ limit admit close rs crore claim submit fix deposit holder compani sourc said r n tnearli public depositor holder includ retail power corpor employe demand payment aggreg rs crore troubl mortgag player decemb document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n claim fix depositor admit far rs crore sourc said n r n twith total amount claim receiv compani administr r subramaniakumar also resolut profession financi creditor oper creditor employe fix deposit holder creditor touch approxim rs crore n r n tagainst around rs crore claim admit far said banker n r n tfollow nclt order date decemb subramaniakumar public notic ask creditor includ fix depositor submit claim decemb n r n twhile financi creditor demand payment rs crore debt financi creditor claim amount rs crore per latest avail data n r n tlast week committe creditor met first time stress financi admit insolv proceed decemb n r n tsubramaniakumar inform creditor statu claim made far meet n r n tamong financi creditor countri largest lender state bank india includ sbi singapor submit highest claim rs crore howev claim admit sbi sbi singapor rs crore rs crore verif oversea subsidiari sbi sbi ltd also claim payment rs crore mortgag lender n r n tother lender includ bank india canara bank union bank india bank baroda nation hous bank among other n r n tbondhold debentur truste catalyst trusteeship submit claim worth rs crore n r n tthe hous financ compani employe workmen submit claim rs crore n r n tapart financi oper creditor compani also receiv claim rs crore hm tower privat limit man realti merino shelter neelkam realtor tower n r n tdhfl third largest pure play mortgag player first nbfc hfc face corpor insolv resolut process n r n tthe rbi novemb supersed board dhfl appoint subramaniakumar administr found govern liquid issu compani n r n tthe decis dhfl came govern novemb notifi section insolv bankruptci code empow rbi refer stress financi servic provid asset size least rs crore insolv court n r n tthe central bank also appoint three member committe consist idfc first bank non execut chairman rajiv lall icici prudenti life insur manag director ceo n kanan associ mutual fund india n venkatesh advis compani administr resolut process n r n claim fix depositor admit far rs crore sourc said r n twith total amount claim receiv compani administr r subramaniakumar also resolut profession financi creditor oper creditor employe fix deposit holder creditor touch approxim rs crore r n tagainst around rs crore claim admit far said banker r n tfollow nclt order date decemb subramaniakumar public notic ask creditor includ fix depositor submit claim decemb r n twhile financi creditor demand payment rs crore debt financi creditor claim amount rs crore per latest avail data r n tlast week committe creditor met first time stress financi admit insolv proceed decemb r n tsubramaniakumar inform creditor statu claim made far meet r n tamong financi creditor countri largest lender state bank india includ sbi singapor submit highest claim rs crore howev claim admit sbi sbi singapor rs crore rs crore verif oversea subsidiari sbi sbi ltd also claim payment rs crore mortgag lender r n tother lender includ bank india canara bank union bank india bank baroda nation hous bank among other r n tbondhold debentur truste catalyst trusteeship submit claim worth rs crore r n tthe hous financ compani employe workmen submit claim rs crore r n tapart financi oper creditor compani also receiv claim rs crore hm tower privat limit man realti merino shelter neelkam realtor tower r n tdhfl third largest pure play mortgag player first nbfc hfc face corpor insolv resolut process r n tthe rbi novemb supersed board dhfl appoint subramaniakumar administr found govern liquid issu compani r n tthe decis dhfl came govern novemb notifi section insolv bankruptci code empow rbi refer stress financi servic provid asset size least rs crore insolv court r n tthe central bank also appoint three member committe consist idfc first bank non execut chairman rajiv lall icici prudenti life insur manag director ceo n kanan associ mutual fund india n venkatesh advis compani administr resolut process
74,r n tahead merger public sector bank slate merg advanc promot transfer exercis present financi year normal public sector bank undertak exercis begin financi year r n taccord sourc promot transfer till scale four offic level financi year decid individu bank thu next financi year even merger major chang term transfer promot like take place merg entiti scale four chief manag howev beyond scale four transfer might take place basi need accord senior offici public sector bank document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tnotabl last two year hardli recruit public sector bank result need voluntari retir scheme n r n tbank like unit bank india allahabad bank alreadi initi process promot transfer bank use autom assess system decid promot exampl case unit bank india perform would measur term meet lend target recoveri expens manag among thing system also process referr review peer junior senior object assess n r n taccord ashok kumar pradhan manag director chief execut offic unit bank india function committe hr integr like finalis modal merger end financi year n r n tunder mega merger plan union financ minist nirmala sitharaman public sector bank would consolid four punjab nation bank orient bank commerc unit bank india combin form nation second largest lender canara bank syndic bank merg union bank india amalgam andhra bank corpor bank indian bank merg allahabad bank n r n tthe consolid exercis bring number nationalis public sector bank n r n taccord data reserv bank india st march total number offic public sector bank around n r n tapart human resourc anoth challeng merger process say banker merger balanc sheet may achiev april integr could take year formal merger notif accord public sector bank n r n thowev cleric level still lack clariti among employe term transfer said rajen nagar presid aibea n r n tnotabl last two year hardli recruit public sector bank result need voluntari retir scheme r n tbank like unit bank india allahabad bank alreadi initi process promot transfer bank use autom assess system decid promot exampl case unit bank india perform would measur term meet lend target recoveri expens manag among thing system also process referr review peer junior senior object assess r n taccord ashok kumar pradhan manag director chief execut offic unit bank india function committe hr integr like finalis modal merger end financi year r n tunder mega merger plan union financ minist nirmala sitharaman public sector bank would consolid four punjab nation bank orient bank commerc unit bank india combin form nation second largest lender canara bank syndic bank merg union bank india amalgam andhra bank corpor bank indian bank merg allahabad bank r n tthe consolid exercis bring number nationalis public sector bank r n taccord data reserv bank india st march total number offic public sector bank around r n tapart human resourc anoth challeng merger process say banker merger balanc sheet may achiev april integr could take year formal merger notif accord public sector bank r n thowev cleric level still lack clariti among employe term transfer said rajen nagar presid aibea
75,r n tp r seshadri manag director ceo karur vysya bank resign posit cite person reason bank inform exchang saturday said seshadri submit resign letter board director bank accept resign day reliev servic march base request appoint md ceo septemb
76,indian oversea bank receiv capit infus rs crore central govern bank said saturday r nin regulatori file stock exchang bank said receiv amount contribut govern preferenti allot equiti share financi year govern invest document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann r nin decemb bank said would receiv capit infus govern current financi year meet regulatori requir august financ ministri announc capit infus rs crore later increas rs crore iob prompt correct action framework reserv bank india bank report widen net loss rs crore quarter end septemb r nthe pca framework come forc bank breach three key regulatori point name capit risk weight asset ratio net non perform asset return asset r naccord crisil rate iob capitalis weak account high provis requir govern capit infus rs crore rs crore financi year respect support capit ratio extent r nover next quarter slippag npa moder compar past coupl financi year overal npa remain high recoveri may improv aid resolut insolv bankruptci code howev abil contain deterior asset qualiti remain key monitor ad r nthe rate continu factor expect strong govern support ongo basi event distress govern major sharehold public sector bank guardian countri financi system r nthe bank sector stabil import govern given critic sector economi r nthe strong public percept sovereign back psb sever implic psb failur term polit fallout system stabil investor confid psu bear work bank n r nin decemb bank said would receiv capit infus govern current financi year meet regulatori requir august financ ministri announc capit infus rs crore later increas rs crore iob prompt correct action framework reserv bank india bank report widen net loss rs crore quarter end septemb r nthe pca framework come forc bank breach three key regulatori point name capit risk weight asset ratio net non perform asset return asset r naccord crisil rate iob capitalis weak account high provis requir govern capit infus rs crore rs crore financi year respect support capit ratio extent r nover next quarter slippag npa moder compar past coupl financi year overal npa remain high recoveri may improv aid resolut insolv bankruptci code howev abil contain deterior asset qualiti remain key monitor ad r nthe rate continu factor expect strong govern support ongo basi event distress govern major sharehold public sector bank guardian countri financi system r nthe bank sector stabil import govern given critic sector economi r nthe strong public percept sovereign back psb sever implic psb failur term polit fallout system stabil investor confid psu bear work bank
77,r n twhole time director bank baroda meet januari finalis plan rais capit debt instrument enhanc capit adequaci public sector bank r n tbob attempt integr oper focu synergi two psb vijaya bank dena bank merg april document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tthe meet capit rais committe whole time director schedul held januari compani told bse n r n tdebt capit compris addit tier bond tier ii bond n r n ton januari bank rais tier ii capit worth rs crore basel iii compliant bond carri coupon per cent rais money privat placement bond n r n tbob remain adequ capitalis tier overal capit adequaci ratio respect septemb bob also report profit first half financi n r n tcrisil believ bob abl maintain adequ capitalis medium term back capit support union govern n r n tmajor ownership creat moral oblig govern support psb includ bob govern alloc rs crore capit infus fy rs crore propos infus merg psb bob alloc rs crore fy rs crore fy n r n tcrisil believ govern continu provid distress support psb includ bob allow fail also support meet basel iii capit regul n r n tthe meet capit rais committe whole time director schedul held januari compani told bse r n tdebt capit compris addit tier bond tier ii bond r n ton januari bank rais tier ii capit worth rs crore basel iii compliant bond carri coupon per cent rais money privat placement bond r n tbob remain adequ capitalis tier overal capit adequaci ratio respect septemb bob also report profit first half financi r n tcrisil believ bob abl maintain adequ capitalis medium term back capit support union govern r n tmajor ownership creat moral oblig govern support psb includ bob govern alloc rs crore capit infus fy rs crore propos infus merg psb bob alloc rs crore fy rs crore fy r n tcrisil believ govern continu provid distress support psb includ bob allow fail also support meet basel iii capit regul
78,r n tstate bank india chairman rajnish kumar saturday said countri becom trillion economi skeptic whether achiev envisag govern r n tspeak interact session organsi ficci said privat invest necessari achiev target document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n twe definit achiev doubt timefram certain whether achiev five year like difficult question answer trillion achiev sure im say come back privat sector invest reviv kumar said repli queri n r n taccord govern invest alon cannot achiev need huge invest infrastructur sector would result boost gdp n r n tficci presid sangitha reddi said slowdown economi govern need infus rs one two lakh crore reviv sentiment n r n tthi one thing industri believ notwithstand impact may fiscal deficit govern must find way induc least rs one two trillion economi boost construct infrastructureonc said n r n taccord pend bill get pile everi sector need structur reform boost sentiment would result acceler economi n r n treddi said trillion economi target cannot achiev either govern industri alon clap hand togeth achiev n r n twe definit achiev doubt timefram certain whether achiev five year like difficult question answer trillion achiev sure im say come back privat sector invest reviv kumar said repli queri r n taccord govern invest alon cannot achiev need huge invest infrastructur sector would result boost gdp r n tficci presid sangitha reddi said slowdown economi govern need infus rs one two lakh crore reviv sentiment r n tthi one thing industri believ notwithstand impact may fiscal deficit govern must find way induc least rs one two trillion economi boost construct infrastructureonc said r n taccord pend bill get pile everi sector need structur reform boost sentiment would result acceler economi r n treddi said trillion economi target cannot achiev either govern industri alon clap hand togeth achiev
79,r n tjammu kashmir bank saturday said rbi permit lender extend rehabilit benefit applic borrow affect disturb event union territori j k r n reserv bank india allow bank extend rehabilit benefit applic borrow affect disturb event ut j k per master direct relief measur bank area affect natur calam jammu kashmir bank said file bse document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tthe bank said accordingli initi process implement rehabilit packag borrow n r n continu letter date th novemb regard seek special dispens address issu temporari asset impair due prevail situat j k sinc august rbi file said n r n ton august centr abrog articl provis gave special statu j k bifurc erstwhil state union territori jammu kashmir ladakh n r n tthe bank said accordingli initi process implement rehabilit packag borrow r n continu letter date th novemb regard seek special dispens address issu temporari asset impair due prevail situat j k sinc august rbi file said r n ton august centr abrog articl provis gave special statu j k bifurc erstwhil state union territori jammu kashmir ladakh
80,r n tpublic sector indian oversea bank receiv capit infus rs crore govern india bank said saturday r n tin regulatori file stock exchang bank said receiv amount contribut govern preferenti allot equiti share financi year govern invest document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tin decemb bank said would receiv capit infus rs crore govern current financi year meet regulatori requir n r n tin august financ ministri announc capit infus rs crore later increas rs crore n nindian oversea bank prompt correct action framework reserv bank india n r n tthe bank report widen net loss rs crore quarter end septemb n r n tthe prompt correct action framework come forc bank breach three key regulatori point name capit risk weight asset ratio net non perform asset return asset n r n tin decemb bank said would receiv capit infus rs crore govern current financi year meet regulatori requir r n tin august financ ministri announc capit infus rs crore later increas rs crore nindian oversea bank prompt correct action framework reserv bank india r n tthe bank report widen net loss rs crore quarter end septemb r n tthe prompt correct action framework come forc bank breach three key regulatori point name capit risk weight asset ratio net non perform asset return asset
81,r n tstate own syndic bank saturday said take necessari step smooth function branch januari day gener strike call trade union r n tin bse file lender said receiv notic india bank employe associ bank employe feder india indian nation bank employe feder indian nation bank offic congress propos one day strike next week document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n bank receiv notic propos strike th januari syndic bank said n r n tthe bank take necessari step smooth function branch offic day propos strike n r n thowev event strike materialis function branch offic may impact file ad n r n tten central trade union call nation wide gener strike januari protest anti labour polici govern n r n bank receiv notic propos strike th januari syndic bank said r n tthe bank take necessari step smooth function branch offic day propos strike r n thowev event strike materialis function branch offic may impact file ad r n tten central trade union call nation wide gener strike januari protest anti labour polici govern
82,mortgag lender hdfc cut retail prime lend rate basi point effect januari benefit exist hdfc custom compani said exchang file r nfor salari class borrow loan rs lakh effect rate per cent borrow loan amount greater rs lakh rs lakh effect rate per cent similarli custom loan rs lakh effect rate per cent women borrow loan categori effect rate bp lower
83,r n trevenu secretari ajay bhushan pandey friday held meet senior tax offici ask put forward special effort check evas meet target set current fiscal r n tit may recal financ ministri last month put gst tax mop target rs lakh crore remain period fiscal rs lakh crore gst collect target three month rs lakh crore singl month document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n ndirect tax collect target current fiscal peg rs lakh crore despit corpor tax relief lakh crore n r n tit decid meet presenc cbic cbdt chairmen member weekli updat effort taken revenu augment measur endeavour put realiz target sourc said n r n tred flag report gener system taken logic conclus without overreach stipul timefram regular updat submit sourc said n r n tfield format princip chief commission chief commission member board report weekli either physic meet video conferenc effort put field curb tax evas leakag action taken check fake huge itc claim mismatch return file etc ad n r n toffici given direct put forward special effort identifi initi action wil tax evad use fake invoic inflat fake e way bill accord sourc n r n thowev offici ask ensur genuin taxpay troubl offici also told commun must genuin file tax taxman notic reach n r n tthe meet strengthen effort exhort tax machineri put special effort stop leakag curb tax evas maximis tax collect without troubl genuin taxpay n r n tthe meet attend senior offici cbic cbdt includ chairmen member board strategis streamlin field function use data analyt fix specif respons offic n ndirect tax collect target current fiscal peg rs lakh crore despit corpor tax relief lakh crore r n tit decid meet presenc cbic cbdt chairmen member weekli updat effort taken revenu augment measur endeavour put realiz target sourc said r n tred flag report gener system taken logic conclus without overreach stipul timefram regular updat submit sourc said r n tfield format princip chief commission chief commission member board report weekli either physic meet video conferenc effort put field curb tax evas leakag action taken check fake huge itc claim mismatch return file etc ad r n toffici given direct put forward special effort identifi initi action wil tax evad use fake invoic inflat fake e way bill accord sourc r n thowev offici ask ensur genuin taxpay troubl offici also told commun must genuin file tax taxman notic reach r n tthe meet strengthen effort exhort tax machineri put special effort stop leakag curb tax evas maximis tax collect without troubl genuin taxpay r n tthe meet attend senior offici cbic cbdt includ chairmen member board strategis streamlin field function use data analyt fix specif respons offic
84,r n tthe countri largest lender sbi friday said look sell lakh share repres per cent stake nation stock exchang part capit rais exercis r n tcurrent state bank india hold per cent stake exchang document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n sbi one sharehold nation stock exchang india ltd intend divest per cent equiti sharehold nseil competit bid process lender said public notic n r n tthe bid submit minimum lot share prescrib format last date submiss januari said n r n tin sbi sold per cent stake nse mauritiu base verac invest rs crore valu exchang rs crore post transact sbi hold came per cent subsidiari sbi capit hold per cent stake exchang n r n tthe recent exit ifci nse valu countri largest stock exchang around rs crore last month ifci sold entir per cent stake nse consider rs crore n r n tbesid nse stake dilut bank look rais fund initi public offer subsidiari uti mutual fund sbi card payment servic ltd n r n tsbi card credit card arm state bank india wednesday file draft red her prospectu initi public offer sebi novemb n r n tthe compani offer equiti share via offer sale rout includ share sale sbi share offer carlyl group addit compani also issu fresh equiti share rs crore n r n tup share reserv employe compani wherea reserv sbi sharehold sbi hold per cent sbi card rest stake held carlyl group n r n sbi one sharehold nation stock exchang india ltd intend divest per cent equiti sharehold nseil competit bid process lender said public notic r n tthe bid submit minimum lot share prescrib format last date submiss januari said r n tin sbi sold per cent stake nse mauritiu base verac invest rs crore valu exchang rs crore post transact sbi hold came per cent subsidiari sbi capit hold per cent stake exchang r n tthe recent exit ifci nse valu countri largest stock exchang around rs crore last month ifci sold entir per cent stake nse consider rs crore r n tbesid nse stake dilut bank look rais fund initi public offer subsidiari uti mutual fund sbi card payment servic ltd r n tsbi card credit card arm state bank india wednesday file draft red her prospectu initi public offer sebi novemb r n tthe compani offer equiti share via offer sale rout includ share sale sbi share offer carlyl group addit compani also issu fresh equiti share rs crore r n tup share reserv employe compani wherea reserv sbi sharehold sbi hold per cent sbi card rest stake held carlyl group
85,r n tindia extend line credit usd million cuba financ solar park r n tan agreement sign export import bank india banco exterior de cuba juli last year came effect decemb rbi said statement thursday document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tbanco exterior de cuba nomin agenc govern cuba n r n exim bank enter agreement date juli banco exterior de cuba make avail latter govern india support line credit usd million purpos financ instal mw photovolta solar park republ cuba said n r n tunder loc termin utilis period month schedul complet date project n r n ta per agreement financ export elig good servic india would allow subject elig export foreign trade polici n r n tout total credit exim bank agreement good work servic valu least per cent contract price suppli seller india remain per cent good servic may procur seller outsid india statement ad n r n tbanco exterior de cuba nomin agenc govern cuba r n exim bank enter agreement date juli banco exterior de cuba make avail latter govern india support line credit usd million purpos financ instal mw photovolta solar park republ cuba said r n tunder loc termin utilis period month schedul complet date project r n ta per agreement financ export elig good servic india would allow subject elig export foreign trade polici r n tout total credit exim bank agreement good work servic valu least per cent contract price suppli seller india remain per cent good servic may procur seller outsid india statement ad
86,r n tstate own bank baroda friday said rais rs crore issu basel iii compliant bond privat placement basi r n tthe issu open thursday close day saw total allotte privat placement bond bank said bse file document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n ta total bond aggreg rs crore issu n r n tthe lender issu allot unsecur rate list subordin non convert fulli paid redeem basel iii compliant tier ii bond privat placement basi ad n r n tto compli basel iii capit regul bank need improv strengthen capit plan process n r n tthese norm implement mitig concern potenti stress asset qualiti consequenti impact perform profit bank n r n tindian bank system implement basel iii standard phase sinc april bank expect fulli implement norm march n r n ta total bond aggreg rs crore issu r n tthe lender issu allot unsecur rate list subordin non convert fulli paid redeem basel iii compliant tier ii bond privat placement basi ad r n tto compli basel iii capit regul bank need improv strengthen capit plan process r n tthese norm implement mitig concern potenti stress asset qualiti consequenti impact perform profit bank r n tindian bank system implement basel iii standard phase sinc april bank expect fulli implement norm march
87,state bank india creat unit manag vast network semi urban rural branch countri provid thrust scale farm lend micro financ financi inclus r n make major chang retail bank vertic nation bank group bank decid creat separ network micro financ financi inclus circl new unit head gener manag said rajnish kumar chairman sbi document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann r nthe purpos enhanc oversight financi inclus initi busi correspond channel kumar said manag initi scatter earlier would focus r naround per cent branch rural semi urban area manag unit bank start pilot project chandigarh circl present sbi run nation oper circl circl head chief gener manag r nsenior sbi execut said volum result financi inclus initi put pressur branch network affect servic regular custom custom come fi initi would serv new unit r nunder financi inclus bank bc branch across countri offer bank servic sbi record million transact amount rs trillion translat around million transact per day r nthe bank work strategi leverag technolog expand financi servic doorstep unbank bring ambit formal bank system r nthe circl work retail digit bank group largest busi vertic sbi constitut domest deposit domest advanc march group compris eight strateg busi unit drive largest branch network across countri n r nthe purpos enhanc oversight financi inclus initi busi correspond channel kumar said manag initi scatter earlier would focus r naround per cent branch rural semi urban area manag unit bank start pilot project chandigarh circl present sbi run nation oper circl circl head chief gener manag r nsenior sbi execut said volum result financi inclus initi put pressur branch network affect servic regular custom custom come fi initi would serv new unit r nunder financi inclus bank bc branch across countri offer bank servic sbi record million transact amount rs trillion translat around million transact per day r nthe bank work strategi leverag technolog expand financi servic doorstep unbank bring ambit formal bank system r nthe circl work retail digit bank group largest busi vertic sbi constitut domest deposit domest advanc march group compris eight strateg busi unit drive largest branch network across countri
88,r n tthe reserv bank monday carri special simultan open market oper buy sell govern bond rs crore r n review current liquid market situat assess evolv financi condit reserv bank decid conduct simultan purchas sale govern secur open market oper rs crore januari rbi said releas document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n nrbi said reserv right decid quantum purchas sale individu secur accept bid offer less aggreg amount well purchas sell margin higher aggreg amount due round effect n r n tit may also accept reject bid offer either wholli partial without assign reason n r n elig particip submit bid offer electron format reserv bank india core bank solut system noon januari rbi said n nrbi said reserv right decid quantum purchas sale individu secur accept bid offer less aggreg amount well purchas sell margin higher aggreg amount due round effect r n tit may also accept reject bid offer either wholli partial without assign reason r n elig particip submit bid offer electron format reserv bank india core bank solut system noon januari rbi said
89,r n tbank credit deposit grew per cent per cent rs trillion rs trillion fortnight end decemb accord latest reserv bank data r n tin year ago fortnight bank advanc stood rs trillion deposit rs trillion document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n tin previou fortnight end decemb credit grown per cent rs trillion deposit increas per cent rs trillion n r n ton year year basi bank credit growth slow per cent rs trillion novemb per cent increas rs trillion year ago period n r n tloan industri growth fell per cent rs trillion novemb per cent correspond month n r n tdure month credit agricultur alli activ slow per cent per cent last year n r n tadvanc servic sector deceler sharpli per cent per cent last year person loan grew margin lower rate per cent novemb compar per cent earlier accord rbi data n r n trate agenc icra recent report said credit expans may plummet six decad low per cent compar per cent previou financi year n r n tin previou fortnight end decemb credit grown per cent rs trillion deposit increas per cent rs trillion r n ton year year basi bank credit growth slow per cent rs trillion novemb per cent increas rs trillion year ago period r n tloan industri growth fell per cent rs trillion novemb per cent correspond month r n tdure month credit agricultur alli activ slow per cent per cent last year r n tadvanc servic sector deceler sharpli per cent per cent last year person loan grew margin lower rate per cent novemb compar per cent earlier accord rbi data r n trate agenc icra recent report said credit expans may plummet six decad low per cent compar per cent previou financi year
90,njm financi home loan afford hous focus lend arm jm financi group eye five fold increas loan book next fiscal co lend tie enter bank baroda njm financi group enter retail home loan segment two year ago part diversifi develop financ busi rs crore busi serv around develop document write document write googletag cmd push googletag defineoutofpageslot addservic googletag pubad enablesyncrend googletag enableservic n ngoogletag cmd push googletag display n nvar banheight height height next next remov displayconbann n r n twith co lend tie enter second largest state run lender bank baroda compani also expect enter premium home loan segment soon wherein plan rs lakh custom n r n expect grow faster tie lend competit rate say per cent tie allow us link loan price bob rate present rate per cent accordingli expect book touch rs crore end fy manish sheth chief execut jm financi home loan told pti n r n tcurrent loan book around rs crore serv around custom sheth said also said claim compani zero npa alreadi profit busi within two year oper n r n tsheth said also tap custom develop fund grow loan book n r n anoth way custom acquisit tap ten thousand individu come onlin properti brokerag dwello said n r n ton tie bob said per cent loan remain balanc sheet rest per cent book public sector lender n r n tthe compani branch employe go forward focu use technolog widen reach said n r n twith co lend tie enter second largest state run lender bank baroda compani also expect enter premium home loan segment soon wherein plan rs lakh custom r n expect grow faster tie lend competit rate say per cent tie allow us link loan price bob rate present rate per cent accordingli expect book touch rs crore end fy manish sheth chief execut jm financi home loan told pti r n tcurrent loan book around rs crore serv around custom sheth said also said claim compani zero npa alreadi profit busi within two year oper r n tsheth said also tap custom develop fund grow loan book r n anoth way custom acquisit tap ten thousand individu come onlin properti brokerag dwello said r n ton tie bob said per cent loan remain balanc sheet rest per cent book public sector lender r n tthe compani branch employe go forward focu use technolog widen reach said
